Station Name,Latitude,Longitude,Available Bikes,Empty Slots
Bute & Davie,49.282224,-123.132778,15,3
7th & Laurel,49.265071,-123.123864,9,4
7th &  Alder,49.265198,-123.131043,8,7
Science World,49.273691,-123.102232,15,1
1st & Scotia,49.2685027,-123.0975014,9,11
Georgia & Main,49.278529,-123.100017,11,9
Shaw Tower,49.288682,-123.11818,5,11
York & Yew,49.271741,-123.155421,12,7
Pine & 10th,49.262822,-123.14338,7,12
8th & Scotia,49.263635,-123.099236,6,5
Alberni & Jervis,49.28763,-123.127245,4,14
Stanley Park - Information Booth,49.297933,-123.130758,16,4
14th & Alder,49.258819,-123.131317,7,7
Pender & Gore,49.280284,-123.097052,1,13
Carrall & Seawall,49.276294,-123.106534,17,1
Glen & Union,49.277469,-123.081315,11,3
Adanac & McLean,49.277665,-123.073653,8,14
Commercial & Adanac,49.277436,-123.070427,13,3
Pender & Commercial,49.280332,-123.070068,2,14
Keefer & Princess,49.279369,-123.091241,4,10
Alexander & Railway,49.283992,-123.091206,3,17
Napier & Commercial,49.274881,-123.069323,7,7
Britannia Parking Lot,49.275882,-123.071865,5,9
Thornton & National,49.273777,-123.092723,10,4
Keith & 6th,49.265005,-123.079481,19,9
Glen & 6th,49.265024,-123.08127,9,11
Grant & Commercial,49.271377,-123.069416,2,11
2nd & Commercial,49.268616,-123.069908,3,19
4th & Commercial,49.266969,-123.069936,1,12
8th & Commercial,49.263242,-123.070521,5,15
10th & Commercial,49.261403,-123.070102,3,23
Woodland & 10th,49.261263,-123.073707,3,11
Glen & Broadway,49.262242,-123.081459,6,12
St George & Broadway,49.262321,-123.09306,4,8
7th & Woodland,49.264251,-123.073853,2,10
Woodland & 4th,49.266751,-123.073501,4,10
Woodland & Graveley,49.270684,-123.073562,6,6
Charles & Woodland,49.2731,-123.0732,10,4
18th & Main,49.254667,-123.101389,4,10
Prince Edward & 16th,49.256694,-123.096579,1,13
Prince Edward & 14th,49.258352,-123.096337,4,10
13th & St George,49.258817,-123.092797,4,11
10th & Fraser,49.26151,-123.089413,4,10
8th & Fraser,49.263382,-123.088837,2,14
St Catherines & 10th,49.261353,-123.085333,1,11
St Catherines & 7th,49.264466,-123.085183,8,12
Pender & Victoria,49.280197,-123.065859,6,10
Victoria & 4th,49.266725,-123.065925,3,12
Victoria & 10th,49.261188,-123.066009,6,6
15th & Victoria (Trout Lake),49.256857,-123.065646,7,11
Triumph & Victoria,49.283986,-123.065264,3,15
Windsor & 14th,49.257985,-123.083366,7,7
14th & Fraser,49.257939,-123.089531,2,14
15th & Knight,49.256496,-123.075426,8,5
Commercial & Pandora,49.283236,-123.070443,7,8
Carolina & Great Northern Way,49.267266,-123.090786,6,10
6th & Prince Edward,49.265242,-123.095577,3,13
6th & Carolina,49.265213,-123.090785,4,12
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,15,23
Union & Dunlevy,49.277595,-123.09583,10,6
Keefer & Hawks,49.279235,-123.087528,4,12
Hawks & Union,49.277333,-123.087359,9,7
Charles & Commercial,49.273103,-123.069892,11,11
10th & Kingsway,49.261973,-123.09725,6,12
Beach & Hornby,49.275295,-123.132585,12,10
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,3,25
Bute & Barclay,49.284893,-123.128685,13,1
8th & Yukon,49.263962,-123.112621,5,16
Princess & Union,49.277615,-123.091654,10,1
Dunsmuir & Richards,49.282214,-123.114101,1,20
5th & Main,49.266456,-123.100324,2,18
3rd & Quebec,49.268216,-123.103168,13,7
Richards & Cordova,49.284554,-123.111031,9,7
Richards & Robson,49.280216,-123.117639,8,12
Olympic Village Station,49.266314,-123.116011,9,17
Campbell & Hastings,49.280852,-123.084746,7,7
Cardero & Davie,49.285512,-123.1384,5,13
Aquatic Centre,49.27821,-123.136972,22,18
Beach & Broughton,49.281301,-123.139108,21,1
Beach & Cardero,49.283298,-123.142288,14,9
Georgia & Homer,49.280787,-123.115271,3,15
Columbia & 5th,49.266476,-123.109389,12,6
Haro & Denman,49.290587,-123.13625,10,10
Arbutus & 10th,49.262835,-123.152626,9,9
Ontario & 16th,49.256825,-123.105234,1,13
Richards & Davie,49.275683,-123.124388,12,1
8th & Prince Edward,49.263518,-123.09568,8,8
Jervis & Robson,49.28691,-123.128818,2,18
Smithe & Burrard,49.282503,-123.124697,4,14
Broughton & Davie,49.283749,-123.136133,5,15
Cypress & 10th,49.262944,-123.148109,8,6
Granville Island,49.27029,-123.135025,19,12
McLean & Pender,49.280427,-123.074082,9,6
Richards & Smithe,49.279259,-123.119145,3,15
Bute & Robson,49.285836,-123.127265,17,7
Trafalgar & Cornwall,49.272969,-123.164325,4,16
Alma & Point Grey,49.27247,-123.185643,19,4
Point Grey & Blenheim,49.271471,-123.17731,3,10
Hastings & Broughton,49.290112,-123.127062,10,14
Yew & Broadway,49.263523,-123.155267,7,10
8th & Macdonald,49.264928,-123.168068,13,9
Balaclava & Broadway,49.264483,-123.173926,15,3
Dunbar & Broadway,49.264579,-123.18373,9,17
Grandview & Commercial,49.263746,-123.069892,5,11
14th & Oak,49.258761,-123.127071,9,5
Wallace & 4th,49.268974,-123.190701,3,15
Balsam & Cornwall,49.273011,-123.159663,12,8
Balaclava & 6th,49.266924,-123.173849,12,4
Trafalgar & Broadway,49.264326,-123.164725,6,10
Dunbar & 6th,49.266636,-123.183661,5,11
18th & Cambie,49.254818,-123.114785,4,19
Blenheim & 4th,49.268837,-123.177633,3,20
18th & Heather,49.255034,-123.120226,8,7
Point Grey & Bayswater,49.271044,-123.170661,2,14
20th & Main,49.252691,-123.101289,3,12
Station & Terminal,49.272172,-123.097978,12,6
Jericho Beach,49.271082,-123.191458,14,19
Burrard & Drake,49.27808,-123.130557,7,17
Columbia & 1st,49.269969,-123.109623,13,9
Davie & Beach,49.287528,-123.142139,9,19
Morton & Denman,49.28803,-123.142135,12,14
13th & Cambie,49.259579,-123.114769,2,12
Nelson & Denman,49.2890706,-123.1384074,15,3
Melville & Bute,49.287782,-123.12395,11,2
Seymour & Cordova,49.28512,-123.11242,9,10
Arbutus & Nanton,49.247854,-123.153422,16,2
Yukon & 6th,49.265939,-123.1129,10,8
11th & Kingsway,49.261122,-123.097571,8,6
Wylie & 2nd,49.267725,-123.11311,17,0
29th & Cambie,49.245135,-123.116098,1,19
Rolston & Granville,49.274232,-123.129998,3,13
East Blvd & 37th,49.238105,-123.154966,4,16
28th & Willow,49.246243,-123.124373,4,16
Ontario & 23rd,49.249722,-123.104991,3,9
30th & Ontario,49.243375,-123.104978,7,14
Franklin & Nanaimo,49.282087,-123.056909,5,15
Lakewood & Triumph,49.283968,-123.061615,10,6
Wall & Eton,49.287464,-123.060771,9,9
Lakewood & Oxford,49.285575,-123.061575,9,9
22nd & Cambie,49.251358,-123.115637,5,9
King Edward & Cambie,49.249184,-123.116141,6,11
Heather & 29th,49.245535,-123.120496,5,17
Cardero & Robson,49.289255,-123.132677,23,3
Commercial & 20th,49.252656,-123.067965,6,14
Burrard & 14th,49.259469,-123.145718,6,9
Hornby & Drake,49.277178,-123.13,9,14
Cardero & Bayshore,49.291597,-123.129158,2,14
27th & Main,49.247204,-123.101549,5,17
Cordova & Granville,49.2856698,-123.1125432,9,8
22nd & Main,49.25094,-123.101306,3,11
PNE - Hastings & Windermere,49.280977,-123.035969,2,38
1st & Fir,49.270783,-123.141564,9,11
Temporary Station - Celebration of Light,0,0,0,4
